nomor_tiket,id_pesawat,model_pesawat,jarak_tempuh_pesawat,kode_bandara,nama_bandara,kota_bandara,koordinat_bandara,zona_waktu_bandara,id_penerbangan,nomor_penerbangan,jadwal_keberangkatan,jadwal_kedatangan,bandara_keberangkatan,bandara_kedatangan,status_penerbangan,nomor_kursi,kelas_kursi,harga_tiket,kode_pemesanan,total_harga
0005432277597,773,Boeing 777-300,11100,DME,Domodedovo International Airport,Moscow,"(37.9062995910644531,55.4087982177734375)",Europe/Moscow,245,PG0222,2024-07-18 11:05:00+03,2024-07-18 14:30:00+03,DME,OVB,Arrived,25K,Economy,"30,700.00",E16BA5,"114,400.00"
0005434426837,773,Boeing 777-300,11100,VKO,Vnukovo International Airport,Moscow,"(37.2615013122999983,55.5914993286000012)",Europe/Moscow,3463,PG0412,2024-08-09 11:00:00+03,2024-08-09 12:25:00+03,VKO,PEE,Arrived,1C,Business,"35,000.00",EE8D0E,"105,200.00"
0005435372505,773,Boeing 777-300,11100,SVO,Sheremetyevo International Airport,Moscow,"(37.4146000000000001,55.9725990000000024)",Europe/Moscow,5242,PG0277,2024-07-27 11:45:00+03,2024-07-27 15:10:00+03,SVO,OVB,Arrived,1A,Business,"84,000.00",F1F276,"168,000.00"
0005433234746,773,Boeing 777-300,11100,OVB,Tolmachevo Airport,Novosibirsk,"(82.6507034301759944,55.012599945067997)",Asia/Novosibirsk,9818,PG0223,2024-08-10 11:50:00+03,2024-08-10 15:15:00+03,OVB,DME,Arrived,1G,Business,"83,700.00",A10280,"167,400.00"
0005432165130,773,Boeing 777-300,11100,SVX,Koltsovo Airport,Yekaterinburg,"(60.8027000427250002,56.7430992126460012)",Asia/Yekaterinburg,10873,PG0226,2024-08-14 08:10:00+03,2024-08-14 09:55:00+03,SVX,SVO,Arrived,1D,Business,"43,100.00",155ED5,"57,500.00"
0005435902405,773,Boeing 777-300,11100,PEE,Bolshoye Savino Airport,Perm,"(56.021198272705,57.9145011901860016)",Asia/Yekaterinburg,14534,PG0413,2024-07-17 18:55:00+03,2024-07-17 20:20:00+03,PEE,VKO,Scheduled,13F,Comfort,"19,900.00",CE1D40,"192,200.00"
0005435214233,773,Boeing 777-300,11100,AER,Sochi International Airport,Sochi,"(39.9566001892089986,43.4499015808110016)",Europe/Moscow,30576,PG0013,2024-08-12 18:15:00+03,2024-08-12 20:00:00+03,AER,SVO,Arrived,2A,Business,"42,100.00",17E009,"84,100.00"
0005434826686,773,Boeing 777-300,11100,OVB,Tolmachevo Airport,Novosibirsk,"(82.6507034301759944,55.012599945067997)",Asia/Novosibirsk,9923,PG0278,2024-09-05 14:20:00+03,2024-09-05 17:45:00+03,OVB,SVO,Scheduled,5C,Business,"84,000.00",826B63,"131,600.00"
0005434876557,773,Boeing 777-300,11100,VKO,Vnukovo International Airport,Moscow,"(37.2615013122999983,55.5914993286000012)",Europe/Moscow,3490,PG0412,2024-07-16 11:00:00+03,2024-07-16 12:25:00+03,VKO,PEE,Scheduled,1K,Business,"35,000.00",6571DB,"81,500.00"
0005434558332,773,Boeing 777-300,11100,SVO,Sheremetyevo International Airport,Moscow,"(37.4146000000000001,55.9725990000000024)",Europe/Moscow,5299,PG0277,2024-08-08 11:45:00+03,2024-08-08 15:10:00+03,SVO,OVB,Scheduled,2D,Business,"84,000.00",9E4CF3,"180,000.00"
